OTU	Size	Taxonomy
Otu413	1	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Burkholderia-Paraburkholderia(100);
Otu414	1	Bacteria(100);Acidobacteria(100);Acidobacteria(100);Acidobacteriales(100);Acidobacteriaceae_(Subgroup_1)(100);unclassified(100);
Otu415	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoanaerobaculum(100);
Otu416	1	Bacteria(100);Chloroflexi(100);S085(100);S085_or(100);S085_fa(100);S085_ge(100);
Otu417	1	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Arcanobacterium(100);
Otu418	5	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella_1(100);
Otu419	3	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Micrococcales(100);Promicromonosporaceae(100);Cellulosimicrobium(100);
Otu420	1	Bacteria(100);Deinococcus-Thermus(100);Deinococci(100);Deinococcales(100);Deinococcaceae(100);Deinococcus(100);
Otu421	1	Bacteria(100);Verrucomicrobia(100);Spartobacteria(100);Chthoniobacterales(100);Chthoniobacteraceae(100);Chthoniobacter(100);
Otu422	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Dokdonella(100);
Otu423	2	Bacteria(100);Chlamydiae(100);Chlamydiae(100);Chlamydiales(100);Parachlamydiaceae(100);unclassified(100);
Otu424	6	Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Empedobacter(100);
Otu425	1	Bacteria(100);Verrucomicrobia(100);OPB35_soil_group(100);OPB35_soil_group_or(100);OPB35_soil_group_fa(100);OPB35_soil_group_ge(100);
Otu426	5	Bacteria(100);Verrucomicrobia(100);WCHB1-41(100);WCHB1-41_or(100);WCHB1-41_fa(100);WCHB1-41_ge(100);
Otu427	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Mannheimia(100);
Otu428	1	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_UCG-004(100);
Otu429	1	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Ralstonia(100);
Otu430	8	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Aeromonadales(100);Succinivibrionaceae(100);Succinivibrio(100);
Otu431	4	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Aerococcaceae(100);Abiotrophia(100);
Otu432	6	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Lautropia(100);
Otu433	1	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Parvibacter(100);
Otu434	3	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Papillibacter(100);
Otu435	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Rs-D42(100);Rs-D42_ge(100);
Otu436	3	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Geobacillus(100);
Otu437	1	Bacteria(100);Cyanobacteria(100);Cyanobacteria(100);SubsectionIII(100);FamilyI(100);Leptolyngbya(100);
Otu438	1	Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Weeksella(100);
Otu439	1	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Sporomusa(100);
